game,tick,actor_id,name,strategy,n_props,port_wealth,cash,final_score,risk_cost
4,3,ai2,Ms Di Vidend,yield,4,304168.0,1153450.0,880734.0,0.0
4,4,player,You,player,4,652479.0,555209.0,851730.0,0.0
4,4,ai1,Ms Demi Graphic,demographic,3,168717.0,1297246.0,1968280.0,0.0
4,4,ai2,Ms Di Vidend,yield,4,322797.0,1164248.0,880734.0,0.0
4,5,player,You,player,4,673285.0,570180.0,851730.0,0.0
4,5,ai1,Ms Demi Graphic,demographic,3,171801.0,1300039.0,1968280.0,0.0
4,5,ai2,Ms Di Vidend,yield,5,393311.0,1118026.0,880734.0,0.0
4,6,player,You,player,4,690652.0,591503.0,851730.0,0.0
4,6,ai1,Ms Demi Graphic,demographic,4,259280.0,1203794.0,1968280.0,0.0
4,6,ai2,Ms Di Vidend,yield,5,415781.0,1139791.0,880734.0,0.0
4,7,player,You,player,4,694024.0,612895.0,851730.0,0.0
4,7,ai1,Ms Demi Graphic,demographic,4,281008.0,1207503.0,1968280.0,0.0
4,7,ai2,Ms Di Vidend,yield,5,412087.0,1165707.0,880734.0,0.0
4,8,player,You,player,4,694024.0,641641.0,851730.0,0.0
4,8,ai1,Ms Demi Graphic,demographic,5,457416.0,1022018.0,1968280.0,0.0
4,8,ai2,Ms Di Vidend,yield,5,412087.0,1201907.0,880734.0,0.0
4,9,player,You,player,4,682783.0,668342.0,851730.0,0.0
4,9,ai1,Ms Demi Graphic,demographic,6,686456.0,860223.0,1968280.0,0.0
4,9,ai2,Ms Di Vidend,yield,5,401287.0,1228884.0,880734.0,0.0
4,10,player,You,player,4,690652.0,694886.0,851730.0,0.0
4,10,ai1,Ms Demi Graphic,demographic,6,812439.0,877728.0,1968280.0,0.0
4,10,ai2,Ms Di Vidend,yield,5,408847.0,1249225.0,880734.0,0.0
4,11,player,You,player,4,700769.0,714365.0,851730.0,0.0
4,11,ai1,Ms Demi Graphic,demographic,7,1156425.0,676523.0,1968280.0,0.0
4,11,ai2,Ms Di Vidend,yield,5,418567.0,1286819.0,880734.0,0.0
4,12,player,You,player,5,725273.0,687487.0,851730.0,0.0
4,12,ai1,Ms Demi Graphic,demographic,8,1315580.0,624324.0,1968280.0,0.0
4,12,ai2,Ms Di Vidend,yield,6,454990.0,1259725.0,880734.0,0.0
4,13,player,You,player,5,867707.0,702627.0,851730.0,0.0
4,13,ai1,Ms Demi Graphic,demographic,8,1598422.0,641564.0,1968280.0,0.0
4,13,ai2,Ms Di Vidend,yield,6,592834.0,1285777.0,880734.0,0.0
4,14,player,You,player,5,948551.0,728683.0,851730.0,0.0
4,14,ai1,Ms Demi Graphic,demographic,8,1733948.0,670909.0,1968280.0,0.0
4,14,ai2,Ms Di Vidend,yield,6,675195.0,1312807.0,880734.0,0.0
4,15,player,You,player,5,1010313.0,760257.0,851730.0,0.0
4,15,ai1,Ms Demi Graphic,demographic,9,2427043.0,49316.0,1968280.0,0.0
4,15,ai2,Ms Di Vidend,yield,6,767657.0,1359876.0,880734.0,0.0
4,16,player,You,player,5,1020933.0,813683.0,851730.0,0.0
4,16,ai1,Ms Demi Graphic,demographic,9,3585991.0,75900.0,1968280.0,0.0
4,16,ai2,Ms Di Vidend,yield,6,803056.0,1410472.0,880734.0,0.0
4,17,player,You,player,5,1088185.0,857783.0,851730.0,0.0
4,17,ai1,Ms Demi Graphic,demographic,9,3847883.0,108084.0,1968280.0,0.0
4,17,ai2,Ms Di Vidend,yield,6,869770.0,1476371.0,880734.0,0.0
4,18,player,You,player,5,963288.0,896520.0,851730.0,0.0
